階層1,階層2,階層3,階層4,内容,チェック
脱衣・洗面所,【ストック切れそうなものがあれば西山へ】,,,【ストック切れそうなものがあれば西山へ】,
脱衣・洗面所,【在庫管理リストもゆくゆく用意します】,,,【在庫管理リストもゆくゆく用意します】,
脱衣・洗面所,【在庫管理リストもゆくゆく用意します】,,,床面クイックルワイパー（キッチンTV裏,□
脱衣・洗面所,【在庫管理リストもゆくゆく用意します】,,,クイックルワイパーシート交換（脱衣所ボックス内,□
脱衣・洗面所,掃除機かけ,,,掃除機かけ,
脱衣・洗面所,掃除機かけ,,,洗濯パンの中,□
脱衣・洗面所,掃除機かけ,,,衣装ケースの上,□
脱衣・洗面所,掃除機かけ,,,床面,□
脱衣・洗面所,掃除機かけ,,,物干し道具の整頓,□
脱衣・洗面所,掃除機かけ,,,洗濯かごのセット,□
脱衣・洗面所,掃除機かけ,,,化粧机の上、アメニティの整頓,□
脱衣・洗面所,掃除機かけ,,,イスの整頓,□
脱衣・洗面所,掃除機かけ,,,ドライヤーの整頓,□
脱衣・洗面所,掃除機かけ,,,タオルの整頓,□
脱衣・洗面所,掃除機かけ,,,収納のドア閉める,□
脱衣・洗面所,掃除機かけ,,,髪の毛など落ちていない？,□
脱衣・洗面所,掃除機かけ,,,消灯,□
脱衣・洗面所,写真（脱衣・洗面所）,,,写真（脱衣・洗面所）,
脱衣・洗面所,写真（脱衣・洗面所）,![20250926_080503.jpg](20250926_080503.jpg),,![20250926_080503.jpg](20250926_080503.jpg),
脱衣・洗面所,写真（脱衣・洗面所）,![20250926_082625.jpg](20250926_082625.jpg),,![20250926_082625.jpg](20250926_082625.jpg),
脱衣・洗面所,写真（脱衣・洗面所）,![20250926_080508.jpg](20250926_080508.jpg),,![20250926_080508.jpg](20250926_080508.jpg),
脱衣・洗面所,写真（脱衣・洗面所）,![20250926_082613.jpg](20250926_082613.jpg),,![20250926_082613.jpg](20250926_082613.jpg),
脱衣・洗面所,写真（脱衣・洗面所）,![20250926_082621.jpg](20250926_082621.jpg),,![20250926_082621.jpg](20250926_082621.jpg),
脱衣・洗面所,写真（脱衣・洗面所）,![20250926_082604.jpg](20250926_082604.jpg),,![20250926_082604.jpg](20250926_082604.jpg),
脱衣・洗面所,写真（脱衣・洗面所）,![20250926_082558.jpg](20250926_082558.jpg),,![20250926_082558.jpg](20250926_082558.jpg),
キッチン,,,,キッチン,
キッチン,,,,ロールスクリーン上げる,□
キッチン,,,,イス7個あるか,□
キッチン,,,,テーブル2個あるか,□
キッチン,,,,窓サッシの虫の死骸除去,□
キッチン,ほこり取り,,,ほこり取り,
キッチン,ほこり取り,,,エアコンのついているカーテンボックス,□
キッチン,ほこり取り,,,冷蔵庫上,□
キッチン,ほこり取り,,,冷蔵庫の左右すきま,□
キッチン,ほこり取り,,,照明,□
キッチン,ほこり取り,,,TV裏,□
キッチン,ほこり取り,,,TV下,□
キッチン,ほこり取り,,,ゴミ箱の上,□
キッチン,ほこり取り,,,SoftbankAirの上（白い四角いの）,□
キッチン,ほこり取り,,,窓サッシ,□
キッチン,ほこり取り,,,SoftbankAirの上（白い四角いの）,□
キッチン,ほこり取り,,,電子レンジ上,□
キッチン,ほこり取り,,,電子レンジ　後ろ、下,□
キッチン,ほこり取り,,,キッチンの中（食器入れの上とか炊飯器、IH周りとか）,□
キッチン,冷蔵庫の中をチェック,,,冷蔵庫の中をチェック,
キッチン,冷蔵庫の中をチェック,,,外に出てる調味料は冷蔵庫へ,□
キッチン,冷蔵庫の中をチェック,,,調味料以外は廃棄（持ち帰りOK）,□
キッチン,冷蔵庫の中をチェック,,,最下段に生ゴミあれば廃棄（宿泊者に入れるようお願いしている）,□
キッチン,空き缶、ビン、ペットボトル,,,空き缶、ビン、ペットボトル,
キッチン,空き缶、ビン、ペットボトル,,,ゴミ箱から取り出す,□
キッチン,空き缶、ビン、ペットボトル,,,すすぐ,□
キッチン,空き缶、ビン、ペットボトル,,,空き缶：簡単にでもつぶす,□
キッチン,空き缶、ビン、ペットボトル,,,ペットボトル：ラベル、キャップ捨てる,□
キッチン,空き缶、ビン、ペットボトル,,,分別してゴミ袋にまとめる,□
キッチン,空き缶、ビン、ペットボトル,,,とりあえず玄関外に出す,□
キッチン,空き缶、ビン、ペットボトル,,,しまってある食器、フライパンなどの状態チェック（必要に応じて洗浄）,□
キッチン,空き缶、ビン、ペットボトル,,,食器洗い,□
キッチン,空き缶、ビン、ペットボトル,,,洗面所カラフルコップの洗浄,□
キッチン,空き缶、ビン、ペットボトル,,,食器拭いて片づけ,□
キッチン,空き缶、ビン、ペットボトル,,,（食器拭きは新しいものを使用。洗濯する。洗濯方法は考えます）,□
キッチン,ケトル,,,ケトル,
キッチン,ケトル,,,中の水捨て,□
キッチン,ケトル,,,中が濡れている場合はフタを外し、逆さにして水切りカゴに置く,□
キッチン,ケトル,,,（水切りカゴに置いたままでよい）,□
キッチン,ケトル,,,濡れていなければ定位置へ（ガス台の下）,□
キッチン,炊飯器,,,炊飯器,
キッチン,炊飯器,,,使用されているか確認,□
キッチン,炊飯器,,,汚れたままの場合は洗浄,□
キッチン,炊飯器,,,食器拭きで拭く,□
キッチン,炊飯器,,,定位置へ（シンクの右下）,□
キッチン,炊飯器,,,流し台の水切りネット交換（燃えるゴミへ）,□
キッチン,炊飯器,,,スポンジ交換（必要に応じて）,□
キッチン,燃えるゴミ、生ゴミ、ビニール系,,,燃えるゴミ、生ゴミ、ビニール系,
キッチン,呉市はビニール系も燃やせるゴミです,,,呉市はビニール系も燃やせるゴミです,
キッチン,呉市はビニール系も燃やせるゴミです,,,生ゴミ（冷蔵庫最下段）回収,□
キッチン,呉市はビニール系も燃やせるゴミです,,,生ゴミ（排水口）回収,□
キッチン,呉市はビニール系も燃やせるゴミです,,,燃えるゴミだけでゴミ袋まとめる,□
キッチン,呉市はビニール系も燃やせるゴミです,,,掃除しているとゴミが出てくるので、口は縛らず室内に置いておく,□
キッチン,呉市はビニール系も燃やせるゴミです,,,ゴミ箱の中に予備のゴミ袋あるか？5枚程度（45L）,□
キッチン,呉市はビニール系も燃やせるゴミです,,,ゴミ箱にゴミ袋（45L）を装着,□
キッチン,呉市はビニール系も燃やせるゴミです,,,マド拭き掃除（窓用シート）玄関棚の中,□
キッチン,呉市はビニール系も燃やせるゴミです,,,糞、指紋、クモの巣が目立つ場合,□
キッチン,拭き掃除（除菌シート）,,,拭き掃除（除菌シート）,
キッチン,拭き掃除（除菌シート）,,,冷蔵庫の中（ほこりやソースなど）,□
キッチン,拭き掃除（除菌シート）,,,キッチンペーパーケース,□
キッチン,拭き掃除（除菌シート）,,,電子レンジの中,□
キッチン,拭き掃除（除菌シート）,,,食器水切りのトレー,□
キッチン,拭き掃除（除菌シート）,,,キッチンの上,□
キッチン,拭き掃除（除菌シート）,,,ガス台の周辺（タイルや置台、コンセント）,□
キッチン,拭き掃除（除菌シート）,,,お盆,□
キッチン,拭き掃除（除菌シート）,,,IHコンロ（よくギトギトになっている）,□
キッチン,拭き掃除（除菌シート）,,,定位置へ（ガス台の下）,□
キッチン,拭き掃除（除菌シート）,,,テーブルの上,□
キッチン,拭き掃除（除菌シート）,,,イスのひじ掛け,□
キッチン,拭き掃除（除菌シート）,,,床の飲み物こぼし跡など（よくテカってます,□
キッチン,拭き掃除（除菌シート）,,,コロコロ　イス7個,□
キッチン,拭き掃除（除菌シート）,,,イスをテーブルの上にあげる,□
キッチン,補充,,,補充,
キッチン,補充,,,【毎回】洗剤,□
キッチン,補充,,,【毎回】ハンドソープ,□
キッチン,補充,,,【毎回】水切りネット,□
キッチン,補充,,,ティッシュ,□
キッチン,補充,,,キッチンペーパー,□
キッチン,補充,,,ラップ,□
キッチン,補充,,,アルミホイル,□
キッチン,補充,,,箱入りの小さいビニール袋,□
キッチン,補充,,,コロコロ,□
キッチン,補充,,,クイックルワイパーシート,□
キッチン,補充,,,クイックルハンディもふもふ,□
キッチン,補充,,,マモルーム（ゴキブリ忌避）,□
キッチン,補充,,,ラーメン（5食）階段下ケース内にある,□
キッチン,補充,,,調味料（冷蔵庫内）,□
キッチン,補充,,,照明リモコンあるか？電池は？,□
キッチン,補充,,,エアコンリモコンあるか？電池は？,□
キッチン,TV,,,TV,
キッチン,TV,,,指紋よごれ、TV裏の布で拭く,□
キッチン,TV,,,リモコンあるか？電池は？,□
キッチン,TV,,,履歴消去（電源ONしたときの画面の左上が（t）であれば不要。人名などの場合は宿泊客のアカウントの可能性があるためログアウト処理）,□
キッチン,TV,,,音量を20に,□
キッチン,TV,,,電源OFF,□
キッチン,TV,,,リモコンの整理,□
キッチン,TV,,,照明（部屋出入口のわき）,□
キッチン,TV,,,エアコン、TV（TV下のティッシュケース）,□
キッチン,TV,,,電源タップを定位置へ（TV下）,□
キッチン,TV,,,炊飯器、IHコンロ、ケトルの整頓,□
キッチン,TV,,,鍋敷きを定位置へ（冷蔵庫側面に貼付け）,□
キッチン,TV,,,食器の整頓,□
キッチン,TV,,,洗った食器が乾燥棚に残されていないか？（まな板は水切り棚）,□
キッチン,TV,,,床面クイックルワイパー,□
キッチン,TV,,,ワイパーのシート交換,□
キッチン,TV,,,掃除機かけ,□
キッチン,TV,,,【床面テカってない？】,□
キッチン,TV,,,【髪の毛おちていない？】,□
キッチン,TV,,,イスとテーブルの整頓,□
キッチン,TV,,,テーブルの上にラミネートの注意書き2枚置く（騒音、ゴミ捨て）,□
キッチン,TV,,,のれんが汚れていれば洗濯,□
キッチン,TV,,,換気扇は常時ON,□
キッチン,TV,,,窓閉めた？,□
キッチン,TV,,,TV OFF？,□
キッチン,TV,,,エアコンOFF？,□
キッチン,TV,,,【髪の毛など落ちていない？】,□
キッチン,TV,,,消灯,□
キッチン,写真（キッチン）,,,写真（キッチン）,
キッチン,写真（キッチン）,![20250926_082524.jpg](20250926_082524.jpg),,![20250926_082524.jpg](20250926_082524.jpg),
キッチン,写真（キッチン）,![20250926_082345.jpg](20250926_082345.jpg),,![20250926_082345.jpg](20250926_082345.jpg),
キッチン,写真（キッチン）,![20250926_102935.jpg](20250926_102935.jpg),,![20250926_102935.jpg](20250926_102935.jpg),
キッチン,写真（キッチン）,![20250926_082530.jpg](20250926_082530.jpg),,![20250926_082530.jpg](20250926_082530.jpg),
キッチン,写真（キッチン）,![20250926_083941.jpg](50dcb555-7afd-40a5-a8aa-af4f73ada4d0.png),,![20250926_083941.jpg](50dcb555-7afd-40a5-a8aa-af4f73ada4d0.png),
キッチン,写真（キッチン）,![20250926_082535.jpg](20250926_082535.jpg),,![20250926_082535.jpg](20250926_082535.jpg),
キッチン,写真（キッチン）,![20250926_082540.jpg](20250926_082540.jpg),,![20250926_082540.jpg](20250926_082540.jpg),
1階トイレ前廊下,,,,1階トイレ前廊下,
1階トイレ前廊下,（綿壁触れないよう注意）,,,（綿壁触れないよう注意）,
1階トイレ前廊下,ほこり取り,,,ほこり取り,
1階トイレ前廊下,ほこり取り,,,照明,□
1階トイレ前廊下,ほこり取り,,,トイレドアの窓回り,□
1階トイレ前廊下,掃除機かけ,,,掃除機かけ,
1階トイレ前廊下,掃除機かけ,,,両サイドの木見切りの上,□
1階トイレ前廊下,掃除機かけ,,,床面,□
1階トイレ前廊下,掃除機かけ,,,砂など落ちていない？,□
1階トイレ前廊下,掃除機かけ,,,消灯,□
1階廊下,,,,1階廊下,
1階廊下,（綿壁触れないよう注意）,,,（綿壁触れないよう注意）,
1階廊下,（綿壁触れないよう注意）,,,備品庫のドア開けて換気（番号007）,□
1階廊下,（綿壁触れないよう注意）,,,BBQセット、必要な場合は備品庫からとりだす,□
1階廊下,ほこり取り,,,ほこり取り,
1階廊下,ほこり取り,,,備品庫ドアの格子,□
1階廊下,ほこり取り,,,照明,□
1階廊下,ほこり取り,,,消火器,□
1階廊下,ほこり取り,,,階段下の棚,□
1階廊下,ほこり取り,,,コロコロ（室内スリッパの裏（8セット）,□
1階廊下,ほこり取り,,,室内スリッパの整頓,□
1階廊下,補充,,,補充,
1階廊下,補充,,,トイレットペーパー,□
1階廊下,補充,,,ラーメン,□
1階廊下,補充,,,ガスボンベ,□
1階廊下,掃除機かけ,,,掃除機かけ,
1階廊下,掃除機かけ,,,スリッパかけ、消火器の下,□
1階廊下,掃除機かけ,,,階段下の衣装ケースの上,□
1階廊下,掃除機かけ,,,階段下の衣装ケースの下,□
1階廊下,掃除機かけ,,,備品庫の中。軽くでよい,□
1階廊下,掃除機かけ,,,床面,□
1階廊下,掃除機かけ,,,砂など落ちていない？,□
1階廊下,掃除機かけ,,,髪の毛など落ちていない？,□
1階廊下,掃除機かけ,,,備品庫のドアを施錠（番号007）,□
1階廊下,掃除機かけ,,,消灯,□
玄関,,,,玄関,
玄関,,,,玄関　鏡前のほうき・チリトリの有無チェック,□
玄関,補充,,,補充,
玄関,補充,,,殺虫スプレー（くも）振って確認,□
玄関,補充,,,殺虫スプレー（ムカデ）振って確認,□
玄関,補充,,,殺虫スプレー（ハチ）振って確認,□
玄関,補充,,,スーツケースのキャスターのカバー,□
玄関,補充,,,チラシなど（随時追加予定）,□
玄関,チェック,,,チェック,
玄関,チェック,,,マド拭きシートの有無（靴箱内）,□
玄関,チェック,,,救急箱（靴箱内）,□
玄関,チェック,,,充電ケーブルの有無（靴箱内）,□
玄関,チェック,,,文房具（靴箱内）,□
玄関,ほこり取り,,,ほこり取り,
玄関,ほこり取り,,,照明,□
玄関,ほこり取り,,,玄関ドアの上のほうなど,□
玄関,ほこり取り,,,和室の引き戸の上,□
玄関,ほこり取り,,,靴箱みたいな棚の全体,□
玄関,ほこり取り,,,拭き掃除（カガミ,□
玄関,ほこり取り,,,はき掃除,□
玄関,ほこり取り,,,土間,□
玄関,ほこり取り,,,玄関ドアの下のミゾ,□
玄関,ほこり取り,,,掃除機かけ,□
玄関,ほこり取り,,,玄関マットをはたく（外で）,□
玄関,ほこり取り,,,玄関外の靴箱の上の掃除,□
玄関,ほこり取り,,,屋外スリッパの整頓（大1、小2）,□
玄関,ほこり取り,,,ほうき、ちりとりの整頓,□
玄関,ほこり取り,,,砂、小石など落ちていないか？,□
玄関,写真,,,写真,
玄関,写真,![20250926_092006.jpg](20250926_092006.jpg),,![20250926_092006.jpg](20250926_092006.jpg),
玄関,写真,![20250926_092010.jpg](20250926_092010.jpg),,![20250926_092010.jpg](20250926_092010.jpg),
玄関,写真,![20250926_091959.jpg](20250926_091959.jpg),,![20250926_091959.jpg](20250926_091959.jpg),
最終チェック,,,,最終チェック,
最終チェック,宿泊人数分用意するもの,,,宿泊人数分用意するもの,
最終チェック,宿泊人数分用意するもの,フェイスタオル,,フェイスタオル,
最終チェック,宿泊人数分用意するもの,フェイスタオル,,2階トイレ　1枚,□
最終チェック,宿泊人数分用意するもの,フェイスタオル,,1階トイレ　1枚,□
最終チェック,宿泊人数分用意するもの,フェイスタオル,,キッチン　1枚,□
最終チェック,宿泊人数分用意するもの,フェイスタオル,,洗面台　1枚,□
最終チェック,宿泊人数分用意するもの,フェイスタオル,,洗濯機の棚上　人数分,□
最終チェック,宿泊人数分用意するもの,フェイスタオル,,バスタオル　洗濯機の棚上　人数分,□
最終チェック,宿泊人数分用意するもの,フェイスタオル,,足タオル　洗濯機にかけておく　1枚,□
最終チェック,宿泊人数分用意するもの,フェイスタオル,,食器ふきタオル　キッチン水切り棚にひっかける　1枚,□
最終チェック,宿泊人数分用意するもの,フェイスタオル,,1、2名　→　2階マットのみベッド化して使用,□
最終チェック,宿泊人数分用意するもの,フェイスタオル,,3～8名　→　1階和室　シングルの数量あってる？,□
最終チェック,宿泊人数分用意するもの,フェイスタオル,,9～10名　→　1階和室の数量と2階のマットもベッド化してる？,□
最終チェック,戸締り確認,,,戸締り確認,
最終チェック,戸締り確認,,,お風呂　換気扇は常時ON,□
最終チェック,戸締り確認,,,キッチン　換気扇は常時ON,□
最終チェック,戸締り確認,,,エアコンOFF　2階リビング,□
最終チェック,戸締り確認,,,エアコンOFF　和室1,□
最終チェック,戸締り確認,,,エアコンOFF　和室2,□
最終チェック,戸締り確認,,,エアコンOFF　キッチン,□
最終チェック,戸締り確認,,,和室押入　閉じた？,□
最終チェック,戸締り確認,,,脱衣所の収納扉　閉めた？,□
最終チェック,戸締り確認,,,1階備品庫　施錠した？,□
最終チェック,戸締り確認,,,2階備品庫　施錠した？,□
最終チェック,戸締り確認,,,照明OFF　全部屋,□
最終チェック,戸締り確認,,,マド施錠　全部屋,□
最終チェック,戸締り確認,,,忘れ物ない？,□
最終チェック,持って出るもの,,,持って出るもの,
最終チェック,持って出るもの,,,使用済みリネン（シーツ、タオル）,□
最終チェック,持って出るもの,,,ゴミ,□
最終チェック,持って出るもの,,,個人の荷物,□
最終チェック,持って出るもの,,,ホテルのカギ,□
最終チェック,最後の最後,,,最後の最後,
最終チェック,最後の最後,,,テラスでやり残した作業はない？,□
最終チェック,最後の最後,,,チェック漏れないかリスト再確認,□
最終チェック,最後の最後,,,玄関ドア施錠,□
最終チェック,最後の最後,,,カギをキーボックスへ入れる,□
最終チェック,最後の最後,,,ゴミ捨て（未舗装駐車場のゴミボックスへ）,□
最終チェック,最後の最後,,,いっぱいになりそうなときは西山へ連絡,□
【模索中】リネンの洗濯、乾燥方法,,,,【模索中】リネンの洗濯、乾燥方法,
【模索中】リネンの洗濯、乾燥方法,作業時間中にコインランドリーで洗濯乾燥。,,,作業時間中にコインランドリーで洗濯乾燥。,
【模索中】リネンの洗濯、乾燥方法,（洗濯から乾燥までいっぺんにやってくれるタイプを使用してください）,,,（洗濯から乾燥までいっぺんにやってくれるタイプを使用してください）,
【模索中】リネンの洗濯、乾燥方法,待ち時間はもったいないからホテルに戻って作業。,,,待ち時間はもったいないからホテルに戻って作業。,
【模索中】リネンの洗濯、乾燥方法,乾燥が終わるころにまた回収しに行く。,,,乾燥が終わるころにまた回収しに行く。,
【模索中】リネンの洗濯、乾燥方法,コインランドリーで畳んで（もしくはホテルに持ち帰ってから畳んで）ホテルの引出しに収納。,,,コインランドリーで畳んで（もしくはホテルに持ち帰ってから畳んで）ホテルの引出しに収納。,
【模索中】リネンの洗濯、乾燥方法,宿泊人数多い場合は洗濯乾燥機一台に入りきらないとは思いますが、なるべく少ない台数で効率よく使用するようお願いします。「藤三」や「PECO SHOP 広中新開」の一番大きい機械だと6人分くらいなら全部入れられると思います。ただ、敷布団カバーの中にタオルなどが入り込んだり、シーツが団子になったりで、乾ききらない場合があります。その場合は乾いていないものだけ乾燥機で追加乾燥。また、一番大きい機械は2台しかないので両方他者が利用している可能性あり。,,,宿泊人数多い場合は洗濯乾燥機一台に入りきらないとは思いますが、なるべく少ない台数で効率よく使用するようお願いします。「藤三」や「PECO SHOP 広中新開」の一番大きい機械だと6人分くらいなら全部入れられると思います。ただ、敷布団カバーの中にタオルなどが入り込んだり、シーツが団子になったりで、乾ききらない場合があります。その場合は乾いていないものだけ乾燥機で追加乾燥。また、一番大きい機械は2台しかないので両方他者が利用している可能性あり。,
【模索中】リネンの洗濯、乾燥方法,コインランドリー料金はあとで返金します。領収書を西山へ。,,,コインランドリー料金はあとで返金します。領収書を西山へ。,
【模索中】リネンの洗濯、乾燥方法,もっとよい方法を募集中＆模索中です。,,,もっとよい方法を募集中＆模索中です。,
【終了時刻】,,,,【終了時刻】,
|  |,,,,|  |,
| --- |,,,,| --- |,
以下、自由記入欄,,,,以下、自由記入欄,
|  |,,,,|  |,
| --- |,,,,| --- |,
リストの修正点,,,,リストの修正点,
在庫切れになりそうなもの,,,,在庫切れになりそうなもの,
その他、気づいたことなんでも,,,,その他、気づいたことなんでも,
おわり,,,,おわり,
